Freq	Theta
29000	109.525
29050	109.534
29100	109.538
29150	109.514
29200	109.529
29250	109.535
29300	109.529
29350	109.505
29400	109.545
29450	109.507
29500	109.517
29550	109.508
29600	109.534
29650	109.521
29700	109.499
29750	109.553
29800	109.52
29850	109.528
29900	109.549
29950	109.534
30000	109.551
30050	109.523
30100	109.564
30150	109.514
30200	109.54
30250	109.556
30300	109.522
30350	109.531
30400	109.541
30450	109.493
30500	109.568
30550	109.531
30600	109.528
30650	109.541
30700	109.533
30750	109.562
30800	109.533
30850	109.6
30900	109.545
30950	109.563
31000	109.52
31050	109.549
31100	109.544
31150	109.551
31200	109.545
31250	109.626
31300	109.584
31350	109.555
31400	109.557
31450	109.546
31500	109.531
31550	109.574
31600	109.513
31650	109.54
31700	109.573
31750	109.549
31800	109.541
31850	109.547
31900	109.532
31950	109.58
32000	109.568
32050	109.55
32100	109.522
32150	109.577
32200	109.551
32250	109.573
32300	109.584
32350	109.549
32400	109.559
32450	109.57
32500	109.563
32550	109.576
32600	109.573
32650	109.599
32700	109.587
32750	109.592
32800	109.582
32850	109.567
32900	109.59
32950	109.601
33000	109.565
33050	109.57
33100	109.597
33150	109.591
33200	109.566
33250	109.553
33300	109.591
33350	109.57
33400	109.553
33450	109.533
33500	109.566
33550	109.584
33600	109.589
33650	109.555
33700	109.612
33750	109.582
33800	109.581
33850	109.534
33900	109.585
33950	109.579
34000	109.59
34050	109.588
34100	109.579
34150	109.575
34200	109.575
34250	109.582
34300	109.57
34350	109.579
34400	109.598
34450	109.57
34500	109.606
34550	109.587
34600	109.575
34650	109.611
34700	109.601
34750	109.584
34800	109.62
34850	109.572
34900	109.583
34950	109.618
35000	109.532
35050	109.643
35100	109.673
35150	109.582
35200	109.585
35250	109.53
35300	109.592
35350	109.564
35400	109.558
35450	109.571
35500	109.543
35550	109.568
35600	109.616
35650	109.586
35700	109.588
35750	109.576
35800	109.547
35850	109.561
35900	109.563
35950	109.571
36000	109.582
36050	109.576
36100	109.564
36150	109.565
36200	109.621
36250	109.579
36300	109.574
36350	109.659
36400	109.565
36450	109.594
36500	109.605
36550	109.587
36600	109.673
36650	109.553
36700	109.788
36750	109.786
36800	109.473
36850	109.619
36900	109.584
36950	109.56
37000	109.629
37050	109.549
37100	109.571
37150	109.598
37200	109.577
37250	109.598
37300	109.598
37350	109.569
37400	109.605
37450	109.564
37500	109.583
37550	109.56
37600	109.602
37650	109.572
37700	109.568
37750	109.582
37800	109.568
37850	109.537
37900	109.559
37950	109.536
38000	109.59
38050	109.565
38100	109.557
38150	109.535
38200	109.463
38250	109.453
38300	109.468
38350	109.115
38400	101.588
38450	46.8281
38500	106.109
38550	109.169
38600	109.423
38650	109.542
38700	109.549
38750	109.533
38800	109.622
38850	109.652
38900	109.612
38950	109.622
39000	109.86
39050	110.664
39100	109.027
39150	109.627
39200	109.652
39250	109.608
39300	109.612
39350	109.616
39400	109.644
39450	109.639
39500	109.626
39550	109.591
39600	109.598
39650	109.648
39700	109.632
39750	109.63
39800	109.642
39850	109.724
39900	109.61
39950	109.481
40000	109.805
40050	109.443
40100	109.765
40150	109.5
40200	109.643
40250	109.667
40300	109.642
40350	109.639
40400	109.659
40450	109.642
40500	109.649
40550	109.656
40600	109.665
40650	109.619
40700	109.659
40750	109.612
40800	109.627
40850	109.66
40900	109.652
40950	109.605
41000	109.63
41050	109.625
41100	109.633
41150	109.598
41200	109.654
41250	109.672
41300	109.665
41350	109.587
41400	109.668
41450	109.621
41500	109.66
41550	109.675
41600	109.638
41650	109.623
41700	109.692
41750	109.63
41800	109.648
41850	109.618
41900	109.641
41950	109.623
42000	109.619
42050	109.624
42100	109.633
42150	109.579
42200	109.607
42250	109.646
42300	109.62
42350	109.633
42400	109.638
42450	109.624
42500	109.641
42550	109.658
42600	109.67
42650	109.637
42700	109.634
42750	109.653
42800	109.619
42850	109.615
42900	109.627
42950	109.662
43000	109.638
43050	109.629
43100	109.702
43150	109.658
43200	109.67
43250	109.705
43300	109.671
43350	109.665
43400	109.646
43450	109.674
43500	109.699
43550	109.677
43600	109.664
43650	109.705
43700	109.634
43750	109.665
43800	109.663
43850	109.683
43900	109.648
43950	109.688
44000	109.686
44050	109.652
44100	109.634
44150	109.697
44200	109.71
44250	109.671
44300	109.689
44350	109.675
44400	109.69
44450	109.673
44500	109.669
44550	109.671
44600	109.686
44650	109.68
44700	109.694
44750	109.647
44800	109.664
44850	109.679
44900	109.685
44950	109.666
45000	109.646
45050	109.66
45100	109.651
45150	109.663
45200	109.654
45250	109.714
45300	109.645
45350	109.666
45400	109.67
45450	109.678
45500	109.679
45550	109.68
45600	109.686
45650	109.677
45700	109.678
45750	109.687
45800	109.687
45850	109.689
45900	109.684
45950	109.67
46000	109.665
46050	109.712
46100	109.702
46150	109.702
46200	109.662
46250	109.685
46300	109.664
46350	109.676
46400	109.68
46450	109.707
46500	109.712
46550	109.706
46600	109.682
46650	109.685
46700	109.691
46750	109.694
46800	109.687
46850	109.668
46900	109.673
46950	109.661
47000	109.689
47050	109.694
47100	109.702
47150	109.703
47200	109.683
47250	109.695
47300	109.678
47350	109.676
47400	109.692
47450	109.705
47500	109.714
47550	109.681
47600	109.697
47650	109.694
47700	109.685
47750	109.719
47800	109.708
47850	109.694
47900	109.694
47950	109.705
48000	109.671
48050	109.706
48100	109.683
48150	109.686
48200	109.707
48250	109.711
48300	109.71
48350	109.689
48400	109.699
48450	109.697
48500	109.715
48550	109.685
48600	109.707
48650	109.704
48700	109.716
48750	109.706
48800	109.709
48850	109.703
48900	109.732
48950	109.726
49000	109.703
49050	109.711
49100	109.722
49150	109.741
49200	109.722
49250	109.712
49300	109.73
49350	109.709
49400	109.711
49450	109.712
49500	109.727
49550	109.7
49600	109.736
49650	109.706
49700	109.725
49750	109.742
49800	109.734
49850	109.721
49900	109.742
49950	109.699
50000	109.697
50050	109.717
50100	109.718
50150	109.727
50200	109.727
50250	109.733
50300	109.725
50350	109.731
50400	109.726
50450	109.738
50500	109.741
50550	109.73
50600	109.729
50650	109.715
50700	109.73
50750	109.713
50800	109.714
50850	109.731
50900	109.743
50950	109.739
51000	109.739
51050	109.744
51100	109.747
51150	109.73
51200	109.736
51250	109.726
51300	109.735
51350	109.735
51400	109.721
51450	109.737
51500	109.737
51550	109.737
51600	109.739
51650	109.736
51700	109.741
51750	109.738
51800	109.729
51850	109.731
51900	109.721
51950	109.727
52000	109.729
52050	109.747
52100	109.736
52150	109.73
52200	109.757
52250	109.73
52300	109.726
52350	109.735
52400	109.743
52450	109.75
52500	109.745
52550	109.743
52600	109.742
52650	109.725
52700	109.745
52750	109.754
52800	109.742
52850	109.738
52900	109.749
52950	109.744
53000	109.754
53050	109.759
53100	109.743
53150	109.753
53200	109.748
53250	109.749
53300	109.755
53350	109.739
53400	109.762
53450	109.741
53500	109.745
53550	109.739
53600	109.755
53650	109.737
53700	109.738
53750	109.757
53800	109.743
53850	109.746
53900	109.727
53950	109.762
54000	109.762
54050	109.749
54100	109.755
54150	109.74
54200	109.773
54250	109.756
54300	109.764
54350	109.784
54400	109.768
54450	109.774
54500	109.765
54550	109.751
54600	109.758
54650	109.761
54700	109.748
54750	109.741
54800	109.756
54850	109.776
54900	109.788
54950	109.755
55000	109.774
55050	109.754
55100	109.76
55150	109.743
55200	109.761
55250	109.737
55300	109.789
55350	109.78
55400	109.751
55450	109.767
55500	109.764
55550	109.782
55600	109.77
55650	109.772
55700	109.767
55750	109.784
55800	109.763
55850	109.779
55900	109.78
55950	109.777
56000	109.756
56050	109.769
56100	109.771
56150	109.788
56200	109.785
56250	109.739
56300	109.782
56350	109.77
56400	109.771
56450	109.768
56500	109.802
56550	109.792
56600	109.772
56650	109.774
56700	109.783
56750	109.795
56800	109.789
56850	109.799
56900	109.774
56950	109.774
57000	109.787
57050	109.783
57100	109.806
57150	109.806
57200	109.775
57250	109.791
57300	109.793
57350	109.802
57400	109.797
57450	109.785
57500	109.794
57550	109.781
57600	109.763
57650	109.801
57700	109.799
57750	109.813
57800	109.794
57850	109.802
57900	109.801
57950	110.658
58000	110.216
58050	109.8
58100	109.827
58150	109.8
58200	109.809
58250	109.809
58300	109.797
58350	109.793
58400	109.805
58450	109.813
58500	109.799
58550	109.781
58600	109.818
58650	109.818
58700	109.816
58750	109.813
58800	109.811
58850	109.812
58900	109.823
58950	109.811
59000	109.813
59050	109.795
59100	109.804
59150	109.819
59200	109.82
59250	109.826
59300	109.777
59350	109.808
59400	109.824
59450	109.82
59500	109.852
59550	109.833
59600	109.841
59650	109.837
59700	109.832
59750	109.838
59800	109.811
59850	109.823
59900	109.795
59950	109.803
60000	109.816
60050	109.851
60100	109.823
60150	109.835
60200	109.834
60250	109.834
60300	109.829
60350	109.856
60400	109.842
60450	109.833
60500	109.843
60550	109.839
60600	109.837
60650	109.831
60700	109.845
60750	109.848
60800	109.855
60850	109.847
60900	109.837
60950	109.844
61000	109.845
61050	109.845
61100	109.845
61150	109.867
61200	109.874
61250	109.851
61300	109.846
61350	109.84
61400	109.837
61450	109.839
61500	109.845
61550	109.842
61600	109.863
61650	109.855
61700	109.855
61750	109.86
61800	109.873
61850	109.874
61900	109.862
61950	109.867
62000	109.851
62050	109.866
62100	109.862
62150	109.863
62200	109.843
62250	109.855
62300	109.854
62350	109.84
62400	109.857
62450	109.853
62500	109.828
62550	109.823
62600	109.791
62650	109.678
62700	109.493
62750	100.686
62800	83.9401
62850	109.016
62900	109.713
62950	109.764
63000	109.812
63050	109.827
63100	109.854
63150	109.855
63200	109.856
63250	109.867
63300	109.864
63350	109.857
63400	109.852
63450	109.837
63500	109.794
63550	109.761
63600	97.7912
63650	109.217
63700	109.542
63750	109.837
63800	109.848
63850	109.88
63900	109.876
63950	109.882
64000	109.911
64050	109.909
64100	109.902
64150	109.895
64200	109.909
64250	109.916
64300	109.903
64350	109.926
64400	109.918
64450	109.919
64500	109.908
64550	109.916
64600	109.913
64650	109.916
64700	109.899
64750	109.918
64800	109.917
64850	109.91
64900	109.943
64950	109.918
65000	109.952
65050	109.918
65100	109.938
65150	109.949
65200	109.918
65250	109.934
65300	109.932
65350	109.931
65400	109.992
65450	109.913
65500	109.946
65550	109.939
65600	109.948
65650	109.939
65700	109.955
65750	109.94
65800	109.939
65850	109.954
65900	109.954
65950	109.944
66000	109.953
66050	109.962
66100	110.053
66150	109.97
66200	109.941
66250	110.005
66300	109.983
66350	109.978
66400	109.972
66450	109.965
66500	109.975
66550	109.959
66600	109.964
66650	109.944
66700	109.959
66750	109.988
66800	109.987
66850	109.995
66900	110.009
66950	110.001
67000	110.149
67050	110.281
67100	110.022
67150	110.017
67200	110
67250	110.032
67300	110.027
67350	110.008
67400	110.02
67450	110.031
67500	109.943
67550	110.09
67600	109.996
67650	110.007
67700	110.044
67750	110.027
67800	110.031
67850	110.045
67900	110.049
67950	110.067
68000	110.042
68050	110.055
68100	110.053
68150	110.056
68200	110.054
68250	110.061
68300	110.085
68350	110.082
68400	110.067
68450	110.092
68500	110.11
68550	110.092
68600	110.098
68650	110.093
68700	110.153
68750	110.122
68800	110.124
68850	110.138
68900	110.118
68950	110.126
69000	110.093
69050	110.155
69100	110.151
69150	110.165
69200	110.124
69250	110.123
69300	110.109
69350	110.129
69400	110.136
69450	110.1
69500	110.125
69550	110.124
69600	110.137
69650	110.122
69700	110.052
69750	110.056
69800	110.042
69850	110.015
69900	110.046
69950	109.976
70000	109.999
70050	109.915
70100	109.9
70150	109.891
70200	109.885
70250	109.843
70300	109.837
70350	109.744
70400	109.737
70450	109.723
70500	109.656
70550	109.674
70600	109.65
70650	109.638
70700	109.618
70750	109.658
70800	109.62
70850	109.641
70900	109.618
70950	109.615
71000	109.608
71050	109.596
71100	109.603
71150	109.585
71200	109.603
71250	109.614
71300	109.594
71350	109.595
71400	109.593
71450	109.628
71500	109.587
71550	109.62
71600	109.509
71650	109.569
71700	109.622
71750	109.603
71800	109.648
71850	109.669
71900	109.603
71950	109.607
72000	109.666
72050	109.644
72100	109.67
72150	109.67
72200	109.652
72250	109.654
72300	109.678
72350	109.672
72400	109.686
72450	109.672
72500	109.66
72550	109.669
72600	109.675
72650	109.688
72700	109.695
72750	109.698
72800	109.68
72850	109.688
72900	109.69
72950	109.715
73000	109.703
73050	109.717
73100	109.693
73150	109.726
73200	109.724
73250	109.717
73300	109.73
73350	109.665
73400	109.746
73450	109.805
73500	109.724
73550	109.72
73600	109.708
73650	109.7
73700	109.757
73750	109.724
73800	109.723
73850	109.735
73900	109.741
73950	109.745
74000	109.781
74050	109.76
74100	109.759
74150	109.751
74200	109.743
74250	109.769
74300	109.747
74350	109.75
74400	109.762
74450	109.753
74500	109.769
74550	109.773
74600	109.76
74650	109.806
74700	109.738
74750	109.835
74800	109.818
74850	109.679
74900	109.682
74950	109.763
75000	109.769
75050	109.757
75100	109.696
75150	109.719
75200	106.219
75250	100.204
75300	109.482
75350	109.741
75400	109.779
75450	109.788
75500	109.773
75550	109.788
75600	109.773
75650	109.788
75700	109.772
75750	109.777
75800	109.785
75850	109.776
75900	109.796
75950	109.782
76000	109.797
76050	109.762
76100	109.785
76150	109.781
76200	109.82
76250	109.812
76300	109.806
76350	109.801
76400	109.815
76450	109.821
76500	109.835
76550	109.822
76600	109.786
76650	109.821
76700	109.81
76750	109.772
76800	109.83
76850	109.837
76900	109.846
76950	109.793
77000	109.814
77050	109.819
77100	109.832
77150	109.825
77200	109.818
77250	109.82
77300	109.799
77350	109.819
77400	109.842
77450	109.83
77500	109.83
77550	109.828
77600	109.797
77650	109.825
77700	109.82
77750	109.831
77800	109.827
77850	109.834
77900	109.843
77950	109.828
78000	109.866
78050	109.842
78100	109.838
78150	109.791
78200	109.797
78250	109.836
78300	109.842
78350	109.844
78400	109.779
78450	109.813
78500	109.809
78550	109.723
78600	109.761
78650	109.944
78700	109.794
78750	109.849
78800	109.886
78850	109.836
78900	109.876
78950	109.872
79000	109.828
79050	109.807
79100	109.818
79150	109.841
79200	109.835
79250	109.832
79300	109.841
79350	109.834
79400	109.853
79450	109.861
79500	109.858
79550	109.861
79600	109.826
79650	109.89
79700	109.852
79750	109.86
79800	109.86
79850	109.848
79900	109.879
79950	109.84
80000	109.862
80050	109.847
80100	109.844
80150	109.821
80200	109.852
80250	109.855
80300	109.894
80350	109.87
80400	109.806
80450	109.81
80500	109.781
80550	109.868
80600	109.841
80650	109.897
80700	109.859
80750	109.832
80800	109.707
80850	109.884
80900	109.886
80950	109.849
81000	109.861
81050	109.863
81100	109.873
81150	109.885
81200	109.872
81250	109.862
81300	109.86
81350	109.867
81400	109.843
81450	109.865
81500	109.873
81550	109.861
81600	109.868
81650	109.877
81700	109.869
81750	109.868
81800	109.894
81850	109.886
81900	109.873
81950	109.892
82000	109.886
82050	109.876
82100	109.903
82150	109.849
82200	109.895
82250	109.869
82300	109.878
82350	109.863
82400	109.866
82450	109.889
82500	109.883
82550	109.989
82600	109.9
82650	109.867
82700	109.864
82750	109.873
82800	109.901
82850	109.866
82900	109.863
82950	109.885
83000	109.892
83050	109.898
83100	109.887
83150	109.88
83200	109.892
83250	109.896
83300	109.882
83350	109.89
83400	109.886
83450	109.888
83500	109.883
83550	109.89
83600	109.882
83650	109.894
83700	109.888
83750	109.904
83800	109.881
83850	109.911
83900	109.873
83950	109.879
84000	109.874
84050	109.975
84100	109.872
84150	109.908
84200	109.861
84250	109.792
84300	109.875
84350	109.874
84400	109.875
84450	109.891
84500	109.907
84550	109.881
84600	109.891
84650	109.901
84700	109.88
84750	109.896
84800	109.896
84850	109.89
84900	109.885
84950	109.926
85000	109.89
85050	109.887
85100	109.89
85150	109.891
85200	109.907
85250	109.925
85300	109.915
85350	109.919
85400	109.897
85450	109.931
85500	109.909
85550	109.916
85600	109.909
85650	109.914
85700	109.911
85750	109.906
85800	109.909
85850	109.915
85900	109.908
85950	109.927
86000	109.928
86050	109.924
86100	109.904
86150	109.903
86200	109.928
86250	109.93
86300	109.918
86350	109.912
86400	109.915
86450	109.917
86500	109.927
86550	109.921
86600	109.91
86650	109.925
86700	109.91
86750	110.134
86800	109.921
86850	109.915
86900	109.912
86950	109.929
87000	109.924
87050	109.926
87100	109.928
87150	109.921
87200	109.909
87250	109.918
87300	109.907
87350	109.9
87400	109.91
87450	109.929
87500	109.906
87550	109.927
87600	109.921
87650	109.925
87700	109.933
87750	109.906
87800	109.931
87850	109.925
87900	109.92
87950	109.915
88000	109.922
88050	109.943
88100	109.91
88150	109.929
88200	109.921
88250	109.929
88300	109.898
88350	109.908
88400	109.907
88450	109.899
88500	109.875
88550	109.845
88600	104.078
88650	103.109
88700	109.756
88750	109.863
88800	109.897
88850	109.897
88900	109.907
88950	109.92
89000	109.915
89050	109.912
89100	109.925
89150	109.924
89200	109.922
89250	109.924
89300	109.918
89350	109.915
89400	109.964
89450	109.937
89500	109.941
89550	109.941
89600	109.932
89650	109.931
89700	109.932
89750	109.935
89800	109.899
89850	109.943
89900	109.931
89950	109.942
90000	109.934
90050	109.934
90100	109.932
90150	109.943
90200	109.948
90250	109.925
90300	109.933
90350	109.951
90400	109.952
90450	109.955
90500	109.932
90550	109.934
90600	109.936
90650	109.923
90700	109.924
90750	109.935
90800	109.946
90850	109.931
90900	109.938
90950	109.944
91000	109.942
91050	109.924
91100	109.914
91150	109.939
91200	109.936
91250	109.936
91300	109.946
91350	109.943
91400	109.939
91450	109.934
91500	109.934
91550	109.922
91600	109.944
91650	109.946
91700	109.926
91750	109.954
91800	109.944
91850	109.946
91900	109.952
91950	109.934
92000	109.947
92050	109.95
92100	109.954
92150	109.94
92200	109.953
92250	109.942
92300	109.949
92350	109.954
92400	109.951
92450	109.947
92500	109.956
92550	109.955
92600	109.957
92650	109.94
92700	109.954
92750	109.943
92800	109.961
92850	109.948
92900	109.951
92950	109.974
93000	108.923
93050	111.448
93100	109.96
93150	109.95
93200	109.95
93250	109.955
93300	109.951
93350	109.96
93400	109.917
93450	109.906
93500	109.951
93550	109.959
93600	109.94
93650	109.953
93700	109.963
93750	109.936
93800	109.959
93850	109.972
93900	109.941
93950	109.947
94000	109.969
94050	109.959
94100	109.973
94150	109.965
94200	109.96
94250	109.969
94300	109.965
94350	109.973
94400	109.988
94450	109.964
94500	109.993
94550	109.97
94600	109.976
94650	109.979
94700	109.976
94750	109.983
94800	109.986
94850	109.979
94900	109.977
94950	109.978
95000	109.987
95050	109.971
95100	109.972
95150	109.973
95200	109.978
95250	109.961
95300	109.973
95350	109.952
95400	109.951
95450	109.976
95500	109.97
95550	109.968
95600	109.971
95650	109.941
95700	109.924
95750	107.089
95800	105.148
95850	109.961
95900	109.965
95950	109.983
96000	109.958
96050	109.967
96100	109.983
96150	109.984
96200	109.974
96250	109.985
96300	109.984
96350	109.967
96400	109.986
96450	109.979
96500	109.961
96550	109.98
96600	109.993
96650	109.982
96700	109.983
96750	109.997
96800	109.985
96850	109.991
96900	109.988
96950	109.991
97000	109.985
97050	109.975
97100	109.986
97150	109.994
97200	109.995
97250	109.987
97300	109.983
97350	109.998
97400	110.078
97450	109.991
97500	109.998
97550	109.991
97600	109.993
97650	109.994
97700	109.993
97750	109.984
97800	109.994
97850	109.994
97900	109.991
97950	110.001
98000	109.999
98050	110.008
98100	110
98150	110.006
98200	109.998
98250	109.984
98300	109.987
98350	110.005
98400	109.999
98450	109.99
98500	109.995
98550	110.003
98600	110.001
98650	110
98700	109.995
98750	109.999
98800	109.994
98850	110.008
98900	109.999
98950	110.006
99000	109.992
99050	109.998
99100	110.008
99150	109.992
99200	110.005
99250	110.005
99300	110.004
99350	109.993
99400	109.995
99450	109.999
99500	110.011
99550	110.011
99600	109.996
99650	110.002
99700	110.009
99750	110.02
99800	110.006
99850	110.012
99900	110.006
99950	110.009
100000	109.965
100050	110.017
100100	110.014
100150	110.008
100200	110.007
100250	109.998
100300	110.006
100350	110.008
100400	109.996
100450	110.01
100500	110.02
100550	110.041
100600	110.001
100650	110.021
100700	110.006
100750	110.01
100800	110.016
100850	110.017
100900	110.006
100950	110.016
101000	110.002
101050	110.001
101100	109.998
101150	110.005
101200	110.015
101250	110
101300	110.006
101350	109.99
101400	109.74
101450	108.574
101500	109.919
101550	110.007
101600	110.013
101650	110.01
101700	110.015
101750	110.01
101800	110.016
101850	110.017
101900	110.02
101950	110.01
102000	110.015
102050	110.016
102100	110.019
102150	110.013
102200	110.02
102250	110.016
102300	110.016
102350	110.016
102400	110.017
102450	110.007
102500	110.021
102550	110.027
102600	110.004
102650	110.016
102700	110.003
102750	109.991
102800	110.038
102850	110.023
102900	110.026
102950	110.029
103000	110.032
103050	110.031
103100	110.024
103150	110.022
103200	110.029
103250	110.03
103300	110.024
103350	110.032
103400	110.032
103450	110.029
103500	110.027
103550	110.031
103600	110.039
103650	110.027
103700	110.028
103750	110.027
103800	110.03
103850	110.023
103900	110.013
103950	110.028
104000	110.033
104050	110.039
104100	110.033
104150	110.031
104200	110.032
104250	110.041
104300	110.032
104350	110.04
104400	110.036
104450	110.043
104500	110.04
104550	110.026
104600	110.035
104650	110.039
104700	110.029
104750	110.05
104800	110.036
